fill	x	y	xmin	xmax	ymin	ymax
#DFBBB7	3480	24	3455	3505	-1	49
#EED9D7	3530	24	3505	3555	-1	49
#DDD8EC	3530	74	3505	3555	49	99
#F2E1DF	3580	74	3555	3605	49	99
#E2C1BC	3580	124	3555	3605	99	149
#ECD5D2	3630	124	3605	3655	99	149
#DBB2AD	3630	174	3605	3655	149	199
#CCC5E3	3680	174	3655	3705	149	199
#BCB4DB	3680	224	3655	3705	199	249
#978DC6	3730	224	3705	3755	199	249
#DFDAED	3730	274	3705	3755	249	299
#7369B3	3780	274	3755	3805	249	299
#3A3A98	3780	324	3755	3805	299	349
#F5F4FA	3580	24	3555	3605	-1	49
#EAD0CC	3680	124	3655	3705	99	149
#988DC7	3780	224	3755	3805	199	249
#E7CAC6	3630	74	3605	3655	49	99
#B2A9D5	3730	174	3705	3755	149	199
#ABA2D2	3830	274	3805	3855	249	299
#FBFAFD	3630	24	3605	3655	-1	49
#F0DCDA	3680	74	3655	3705	49	99
#F7ECEA	3730	124	3705	3755	99	149
#DCD8EC	3780	174	3755	3805	149	199
#FAF3F2	3830	224	3805	3855	199	249
#FEFCFB	3680	24	3655	3705	-1	49
#FFFFFF	3780	124	3755	3805	99	149
#FDF9F9	3730	74	3705	3755	49	99
#FFFEFE	3830	174	3805	3855	149	199
#D4CFE8	3880	224	3855	3905	199	249
#F5F4FA	3730	24	3705	3755	-1	49
#F5E9E7	3780	74	3755	3805	49	99
#F2E2E0	3830	124	3805	3855	99	149
#F8EFEE	3880	174	3855	3905	149	199
#F8F7FB	3780	24	3755	3805	-1	49
#F1E0DE	3880	124	3855	3905	99	149
#FFFFFF	3830	74	3805	3855	49	99
#D4CFE8	3930	174	3905	3955	149	199
#D5CFE8	3830	24	3805	3855	-1	49
#F2F0F8	3880	74	3855	3905	49	99
#F1DFDD	3930	124	3905	3955	99	149
#F8F7FB	3880	24	3855	3905	-1	49
#ECEAF5	3930	74	3905	3955	49	99
#F1DFDD	3980	124	3955	4005	99	149
#D1CBE6	3930	24	3905	3955	-1	49
#E4E0F0	3980	74	3955	4005	49	99
#DED9ED	3980	24	3955	4005	-1	49
#D2CCE6	4030	74	4005	4055	49	99
#DBD6EC	4030	24	4005	4055	-1	49
#C4BCDF	4080	24	4055	4105	-1	49
