fill	x	y	xmin	xmax	ymin	ymax
#000000	0	0	-0.125	0.125	-2.5	2.5
#232323	-0.75	0	-0.875	-0.625	-2.5	2.5
#434343	-1.75	0	-1.875	-1.625	-2.5	2.5
#2F2F2F	1	0	0.875	1.125	-2.5	2.5
#242424	0.75	0	0.625	0.875	-2.5	2.5
#414141	1.25	0	1.125	1.375	-2.5	2.5
#090909	0.25	0	0.125	0.375	-2.5	2.5
#181818	0.5	0	0.375	0.625	-2.5	2.5
#585858	-2.5	0	-2.625	-2.375	-2.5	2.5
#FFFFFF	-5.25	5	-5.375	-5.125	2.5	7.5
#181818	-0.5	0	-0.625	-0.375	-2.5	2.5
#0A0A0A	-0.25	0	-0.375	-0.125	-2.5	2.5
#3E3E3E	-1.25	0	-1.375	-1.125	-2.5	2.5
#373737	-1	0	-1.125	-0.875	-2.5	2.5
#6B6B6B	-2	0	-2.125	-1.875	-2.5	2.5
#4B4B4B	-1.5	0	-1.625	-1.375	-2.5	2.5
#545454	1.75	0	1.625	1.875	-2.5	2.5
#454545	2	0	1.875	2.125	-2.5	2.5
#737373	2.25	0	2.125	2.375	-2.5	2.5
#777777	-3.5	0	-3.625	-3.375	-2.5	2.5
#6C6C6C	3.25	0	3.125	3.375	-2.5	2.5
#5B5B5B	2.75	0	2.625	2.875	-2.5	2.5
#878787	-3.75	0	-3.875	-3.625	-2.5	2.5
#727272	-2.25	0	-2.375	-2.125	-2.5	2.5
#454545	1.5	0	1.375	1.625	-2.5	2.5
#989898	4.25	0	4.125	4.375	-2.5	2.5
#878787	4	0	3.875	4.125	-2.5	2.5
#6A6A6A	-3	0	-3.125	-2.875	-2.5	2.5
#777777	3.5	0	3.375	3.625	-2.5	2.5
#989898	-4	0	-4.125	-3.875	-2.5	2.5
#CBCBCB	-3.25	5	-3.375	-3.125	2.5	7.5
#858585	2.5	0	2.375	2.625	-2.5	2.5
#B7B7B7	-4.25	0	-4.375	-4.125	-2.5	2.5
#BBBBBB	3	0	2.875	3.125	-2.5	2.5
#BFBFBF	-4.5	0	-4.625	-4.375	-2.5	2.5
#E1E1E1	-5	5	-5.125	-4.875	2.5	7.5
#9E9E9E	-2.75	0	-2.875	-2.625	-2.5	2.5
#D4D4D4	4.5	0	4.375	4.625	-2.5	2.5
#B7B7B7	2.25	5	2.125	2.375	2.5	7.5
#D4D4D4	2.75	5	2.625	2.875	2.5	7.5
#A3A3A3	0.75	10	0.625	0.875	7.5	12.5
#CBCBCB	-2.5	5	-2.625	-2.375	2.5	7.5
#BDBDBD	-2.25	5	-2.375	-2.125	2.5	7.5
#B4B4B4	-2	5	-2.125	-1.875	2.5	7.5
#9B9B9B	-1.25	5	-1.375	-1.125	2.5	7.5
#909090	-1	5	-1.125	-0.875	2.5	7.5
#CBCBCB	3.75	0	3.625	3.875	-2.5	2.5
#727272	-0.5	5	-0.625	-0.375	2.5	7.5
#787878	-0.75	5	-0.875	-0.625	2.5	7.5
#B0B0B0	-1.5	5	-1.625	-1.375	2.5	7.5
#A8A8A8	1.75	5	1.625	1.875	2.5	7.5
#979797	1.25	5	1.125	1.375	2.5	7.5
#BBBBBB	2	5	1.875	2.125	2.5	7.5
#797979	0.75	5	0.625	0.875	2.5	7.5
#909090	1	5	0.875	1.125	2.5	7.5
#CFCFCF	-4.5	5	-4.625	-4.375	2.5	7.5
#B6B6B6	-1.75	5	-1.875	-1.625	2.5	7.5
#AAAAAA	-1	10	-1.125	-0.875	7.5	12.5
#737373	0.5	5	0.375	0.625	2.5	7.5
#A5A5A5	0.25	5	0.125	0.375	2.5	7.5
#D4D4D4	4.5	5	4.375	4.625	2.5	7.5
#E1E1E1	4.75	5	4.625	4.875	2.5	7.5
#E1E1E1	2.5	5	2.375	2.625	2.5	7.5
#A7A7A7	1.5	5	1.375	1.625	2.5	7.5
#DADADA	3.5	5	3.375	3.625	2.5	7.5
#D4D4D4	3.25	5	3.125	3.375	2.5	7.5
#9F9F9F	-0.25	5	-0.375	-0.125	2.5	7.5
#CBCBCB	1	15	0.875	1.125	12.5	17.5
#FFFFFF	-0.75	15	-0.875	-0.625	12.5	17.5
#DADADA	1.25	15	1.125	1.375	12.5	17.5
#B4B4B4	1	10	0.875	1.125	7.5	12.5
#ACACAC	-0.75	10	-0.875	-0.625	7.5	12.5
#C2C2C2	-1.25	10	-1.375	-1.125	7.5	12.5
#E1E1E1	-3.5	5	-3.625	-3.375	2.5	7.5
#ECECEC	-1.25	15	-1.375	-1.125	12.5	17.5
#FFFFFF	5	5	4.875	5.125	2.5	7.5
#E1E1E1	-2.75	5	-2.875	-2.625	2.5	7.5
#D4D4D4	-1	15	-1.125	-0.875	12.5	17.5
#FFFFFF	-4.75	5	-4.875	-4.625	2.5	7.5
#E1E1E1	1.25	20	1.125	1.375	17.5	22.5
#CBCBCB	1.5	15	1.375	1.625	12.5	17.5
#FFFFFF	3.75	5	3.625	3.875	2.5	7.5
#C7C7C7	1.25	10	1.125	1.375	7.5	12.5
#FFFFFF	-3	5	-3.125	-2.875	2.5	7.5
#D4D4D4	0.5	10	0.375	0.625	7.5	12.5
#ECECEC	-1.25	20	-1.375	-1.125	17.5	22.5
#FFFFFF	-1.75	20	-1.875	-1.625	17.5	22.5
#FFFFFF	-1.5	15	-1.625	-1.375	12.5	17.5
#FFFFFF	1.75	15	1.625	1.875	12.5	17.5
#E1E1E1	1.5	20	1.375	1.625	17.5	22.5
#FFFFFF	2	25	1.875	2.125	22.5	27.5
#E1E1E1	1.75	25	1.625	1.875	22.5	27.5
#D4D4D4	-1.5	10	-1.625	-1.375	7.5	12.5
#FFFFFF	-1.5	20	-1.625	-1.375	17.5	22.5
