xmin	xmax	ymin	ymax	showSelected1	row_in_group	na_group
-2.45	-1.55	-1.26269797924631	0	3500,0	18	17
-1.45	-0.55	-3.20316766794102	0	3500,0	19	17
-0.45	0.45	-2.91698525395959	0	3500,0	20	17
0.55	1.45	-5.57509557618788	0	3500,0	21	17
1.55	2.45	-0.532495903877662	0	3500,0	22	17
2.55	3.45	-0.167667941015838	0	3500,0	23	17
3.55	4.45	-0.0524303659202622	0	3500,0	24	17
-44.45	-43.55	-0.104314582195522	0	3550,0	26	18
-43.45	-42.55	-0.515019115237575	0	3550,0	27	18
-40.45	-39.55	-0.124522119060623	0	3550,0	30	20
-34.45	-33.55	-0.930638995084653	0	3550,0	36	25
-33.45	-32.55	-0.0715456034953577	0	3550,0	37	25
-31.45	-30.55	-0.214636810486073	0	3550,0	39	26
-30.45	-29.55	-1.2408519934462	0	3550,0	40	26
-29.45	-28.55	-1.11141452758056	0	3550,0	41	26
-28.45	-27.55	-0.447842708902239	0	3550,0	42	26
-27.45	-26.55	-0.589841616602949	0	3550,0	43	26
-24.45	-23.55	-2.45275805570726	0	3550,0	46	28
-23.45	-22.55	-0.281267067176406	0	3550,0	47	28
-21.45	-20.55	-1.90988530857455	0	3550,0	49	29
-20.45	-19.55	-4.0606226105953	0	3550,0	50	29
-19.45	-18.55	-0.813762971054069	0	3550,0	51	29
-18.45	-17.55	-0.0715456034953577	0	3550,0	52	29
-17.45	-16.55	-0.138175860185691	0	3550,0	53	29
-16.45	-15.55	-0.851447296559257	0	3550,0	54	29
-15.45	-14.55	-0.577280174767886	0	3550,0	55	29
-14.45	-13.55	-0.716548334243583	0	3550,0	56	29
-11.45	-10.55	-0.436373566357182	0	3550,0	59	31
-9.45	-8.55	-0.841070453304205	0	3550,0	61	32
-8.45	-7.55	-2.02785363189514	0	3550,0	62	32
-3.45	-2.55	-1.27471327143637	0	3550,0	67	36
-2.45	-1.55	-0.0906608410704533	0	3550,0	68	36
-1.45	-0.55	-0.718732932823594	0	3550,0	69	36
-0.45	0.45	-1.69470234844347	0	3550,0	70	36
0.55	1.45	-1.61004915346805	0	3550,0	71	36
1.55	2.45	-0.343528126706718	0	3550,0	72	36
-44.45	-43.55	-0.104314582195522	0	3550,50	75	38
-43.45	-42.55	-0.515019115237575	0	3550,50	76	38
-40.45	-39.55	-0.124522119060623	0	3550,50	79	40
-34.45	-33.55	-0.930638995084653	0	3550,50	85	45
-33.45	-32.55	-0.0715456034953577	0	3550,50	86	45
-31.45	-30.55	-0.214636810486073	0	3550,50	88	46
-30.45	-29.55	-1.2408519934462	0	3550,50	89	46
-29.45	-28.55	-1.11141452758056	0	3550,50	90	46
-28.45	-27.55	-0.447842708902239	0	3550,50	91	46
-27.45	-26.55	-0.589841616602949	0	3550,50	92	46
-24.45	-23.55	-2.45275805570726	0	3550,50	95	48
-23.45	-22.55	-0.281267067176406	0	3550,50	96	48
-21.45	-20.55	-1.90988530857455	0	3550,50	98	49
-20.45	-19.55	-4.0606226105953	0	3550,50	99	49
-19.45	-18.55	-0.813762971054069	0	3550,50	100	49
-18.45	-17.55	-0.0715456034953577	0	3550,50	101	49
-17.45	-16.55	-0.138175860185691	0	3550,50	102	49
-16.45	-15.55	-0.851447296559257	0	3550,50	103	49
-15.45	-14.55	-0.577280174767886	0	3550,50	104	49
-14.45	-13.55	-0.716548334243583	0	3550,50	105	49
-11.45	-10.55	-0.436373566357182	0	3550,50	108	51
-9.45	-8.55	-0.841070453304205	0	3550,50	110	52
-8.45	-7.55	-2.02785363189514	0	3550,50	111	52
-3.45	-2.55	-1.27471327143637	0	3550,50	116	56
-2.45	-1.55	-0.0906608410704533	0	3550,50	117	56
-1.45	-0.55	-0.718732932823594	0	3550,50	118	56
-0.45	0.45	-1.69470234844347	0	3550,50	119	56
0.55	1.45	-1.61004915346805	0	3550,50	120	56
1.55	2.45	-0.343528126706718	0	3550,50	121	56
-44.45	-43.55	-0.642818132168214	0	3600,50	125	59
-42.45	-41.55	-1.42108137629711	0	3600,50	127	60
-41.45	-40.55	-2.52430365920262	0	3600,50	128	60
-40.45	-39.55	-2.57728017476789	0	3600,50	129	60
-39.45	-38.55	-3.30202075368651	0	3600,50	130	60
-38.45	-37.55	-3.20371381758602	0	3600,50	131	60
-37.45	-36.55	-5.43855816493719	0	3600,50	132	60
-36.45	-35.55	-3.84871654833424	0	3600,50	133	60
-35.45	-34.55	-4.81485527034408	0	3600,50	134	60
-34.45	-33.55	-0.234298197706171	0	3600,50	135	60
-33.45	-32.55	0	0	3600,50	136	60
-32.45	-31.55	-4.74549426542873	0	3600,50	137	60
-31.45	-30.55	-3.52594210813763	0	3600,50	138	60
-29.45	-28.55	-0.407427635172037	0	3600,50	140	61
-28.45	-27.55	-1.33533588203168	0	3600,50	141	61
-26.45	-25.55	-0.164391043145822	0	3600,50	143	62
-25.45	-24.55	-0.291097760786456	0	3600,50	144	62
-24.45	-23.55	-0.0922992900054615	0	3600,50	145	62
-23.45	-22.55	-1.12889131622064	0	3600,50	146	62
-22.45	-21.55	-0.600764609503004	0	3600,50	147	62
-21.45	-20.55	-0.30802839978154	0	3600,50	148	62
-20.45	-19.55	-0.713271436373566	0	3600,50	149	62
-19.45	-18.55	-2.83233205898416	0	3600,50	150	62
-18.45	-17.55	-2.55707263790279	0	3600,50	151	62
-15.45	-14.55	-0.837793555434189	0	3600,50	154	64
-12.45	-11.55	-4.09120699071546	0	3600,50	157	66
-11.45	-10.55	-1.05461496450027	0	3600,50	158	66
-9.45	-8.55	-2.09885308574549	0	3600,50	159	66
-8.45	-7.55	-1.95630802839978	0	3600,50	160	66
-7.45	-6.55	-0.914800655379574	0	3600,50	161	66
-6.45	-5.55	-0.690333151283452	0	3600,50	162	66
-5.45	-4.55	-4.24467504096122	0	3600,50	163	66
-4.45	-3.55	-1.92900054614965	0	3600,50	164	66
-3.45	-2.55	-1.84216275259421	0	3600,50	165	66
-2.45	-1.55	-1.66739486619334	0	3600,50	166	66
-1.45	-0.55	-2.21245221190606	0	3600,50	167	66
-0.45	0.45	-0.0928454396504642	0	3600,50	168	66
4.55	5.45	-1.5598033861278	0	3600,50	173	70
-44.45	-43.55	-0.642818132168214	0	3600,100	175	71
-42.45	-41.55	-1.42108137629711	0	3600,100	177	72
-41.45	-40.55	-2.52430365920262	0	3600,100	178	72
-40.45	-39.55	-2.57728017476789	0	3600,100	179	72
-39.45	-38.55	-3.30202075368651	0	3600,100	180	72
-38.45	-37.55	-3.20371381758602	0	3600,100	181	72
-37.45	-36.55	-5.43855816493719	0	3600,100	182	72
-36.45	-35.55	-3.84871654833424	0	3600,100	183	72
-35.45	-34.55	-4.81485527034408	0	3600,100	184	72
-34.45	-33.55	-0.234298197706171	0	3600,100	185	72
-33.45	-32.55	0	0	3600,100	186	72
-32.45	-31.55	-4.74549426542873	0	3600,100	187	72
-31.45	-30.55	-3.52594210813763	0	3600,100	188	72
-29.45	-28.55	-0.407427635172037	0	3600,100	190	73
-28.45	-27.55	-1.33533588203168	0	3600,100	191	73
-26.45	-25.55	-0.164391043145822	0	3600,100	193	74
-25.45	-24.55	-0.291097760786456	0	3600,100	194	74
-24.45	-23.55	-0.0922992900054615	0	3600,100	195	74
