group	x	y	clickSelects	showSelected1
357	-29.25	-0.25	17	3500,0
357	-29.25	0.25	17	3500,0
357	-24.25	5.25	17	3500,0
357	-23.75	5.25	17	3500,0
357	-23.25	4.75	17	3500,0
357	-23.25	4.25	17	3500,0
357	-25.75	1.75	17	3500,0
357	-26.75	1.75	17	3500,0
357	-26.75	0.75	17	3500,0
357	-27.75	0.75	17	3500,0
357	-27.75	-0.25	17	3500,0
357	-29.25	-0.25	17	3500,0
357	-44.25	34.75	17	3550,0
357	-44.25	35.25	17	3550,0
357	-34.75	44.75	17	3550,0
357	-34.25	44.75	17	3550,0
357	-33.75	44.25	17	3550,0
357	-33.75	43.75	17	3550,0
357	-36.75	40.75	17	3550,0
357	-36.75	40.25	17	3550,0
357	-35.25	40.25	17	3550,0
357	-35.25	41.25	17	3550,0
357	-34.25	41.25	17	3550,0
357	-34.25	42.25	17	3550,0
357	-33.75	42.75	17	3550,0
357	-32.25	42.75	17	3550,0
357	-31.75	42.25	17	3550,0
357	-31.25	42.25	17	3550,0
357	-31.25	43.25	17	3550,0
357	-30.25	43.25	17	3550,0
357	-29.75	43.75	17	3550,0
357	-29.25	43.75	17	3550,0
357	-29.25	43.25	17	3550,0
357	-29.75	42.75	17	3550,0
357	-29.75	42.25	17	3550,0
357	-28.75	42.25	17	3550,0
357	-27.75	41.25	17	3550,0
357	-27.75	40.75	17	3550,0
357	-29.75	38.75	17	3550,0
357	-29.75	37.75	17	3550,0
357	-31.75	37.75	17	3550,0
357	-34.75	34.75	17	3550,0
357	-37.75	34.75	17	3550,0
357	-38.25	34.25	17	3550,0
357	-38.25	33.75	17	3550,0
357	-37.25	33.75	17	3550,0
357	-37.25	32.75	17	3550,0
357	-36.25	32.75	17	3550,0
357	-36.25	32.25	17	3550,0
357	-40.25	28.25	17	3550,0
357	-40.75	28.25	17	3550,0
357	-40.75	30.25	17	3550,0
357	-41.25	30.75	17	3550,0
357	-41.75	30.75	17	3550,0
357	-43.25	29.25	17	3550,0
357	-44.25	29.25	17	3550,0
357	-44.25	28.75	17	3550,0
357	-43.75	28.25	17	3550,0
357	-42.75	28.25	17	3550,0
357	-42.75	27.75	17	3550,0
357	-43.75	26.75	17	3550,0
357	-43.75	24.75	17	3550,0
357	-44.25	24.75	17	3550,0
357	-44.75	25.25	17	3550,0
357	-44.75	29.75	17	3550,0
357	-43.75	30.75	17	3550,0
357	-43.75	31.25	17	3550,0
357	-44.75	31.25	17	3550,0
357	-44.75	31.75	17	3550,0
357	-44.25	32.25	17	3550,0
357	-43.25	32.25	17	3550,0
357	-42.75	32.75	17	3550,0
357	-42.75	33.75	17	3550,0
357	-41.75	33.75	17	3550,0
357	-41.75	34.75	17	3550,0
357	-40.25	36.25	17	3550,0
357	-38.25	36.25	17	3550,0
357	-38.25	38.25	17	3550,0
357	-37.75	38.75	17	3550,0
357	-37.25	38.75	17	3550,0
357	-36.75	38.25	17	3550,0
357	-36.25	38.25	17	3550,0
357	-36.25	38.75	17	3550,0
357	-37.25	39.75	17	3550,0
357	-37.75	39.75	17	3550,0
357	-41.25	36.25	17	3550,0
357	-42.25	36.25	17	3550,0
357	-42.75	35.75	17	3550,0
357	-42.75	34.75	17	3550,0
357	-43.75	33.75	17	3550,0
357	-44.25	33.75	17	3550,0
357	-44.25	34.75	17	3550,0
357	-25.75	3.25	17	3550,50
357	-25.75	3.75	17	3550,50
357	-20.25	9.25	17	3550,50
357	-19.75	9.25	17	3550,50
357	-19.25	8.75	17	3550,50
357	-19.25	8.25	17	3550,50
357	-20.75	6.75	17	3550,50
357	-20.75	6.25	17	3550,50
357	-20.25	6.25	17	3550,50
357	-19.25	7.25	17	3550,50
357	-17.75	7.25	17	3550,50
357	-14.75	4.25	17	3550,50
357	-14.75	3.75	17	3550,50
357	-15.25	3.25	17	3550,50
357	-16.25	3.25	17	3550,50
357	-16.25	2.25	17	3550,50
357	-17.25	1.25	17	3550,50
357	-17.25	0.25	17	3550,50
357	-18.25	0.25	17	3550,50
357	-19.25	-0.75	17	3550,50
357	-25.75	-0.75	17	3550,50
357	-25.75	-0.25	17	3550,50
357	-25.25	0.25	17	3550,50
357	-24.25	0.25	17	3550,50
357	-24.25	2.25	17	3550,50
357	-23.75	2.75	17	3550,50
357	-23.75	3.25	17	3550,50
357	-24.25	3.25	17	3550,50
357	-24.75	2.75	17	3550,50
357	-25.25	2.75	17	3550,50
357	-25.75	3.25	17	3550,50
357	-32.75	21.25	17	3600,50
357	-32.75	21.75	17	3600,50
357	-32.25	21.75	17	3600,50
357	-30.75	20.25	17	3600,50
357	-29.75	20.25	17	3600,50
357	-29.25	19.75	17	3600,50
357	-26.25	19.75	17	3600,50
357	-25.75	19.25	17	3600,50
357	-24.75	19.25	17	3600,50
357	-24.25	18.75	17	3600,50
357	-24.25	17.25	17	3600,50
357	-25.75	17.25	17	3600,50
357	-27.25	18.75	17	3600,50
357	-27.75	18.75	17	3600,50
357	-28.25	18.25	17	3600,50
357	-28.25	17.75	17	3600,50
357	-27.25	17.75	17	3600,50
357	-27.25	17.25	17	3600,50
357	-27.75	16.75	17	3600,50
357	-27.75	14.25	17	3600,50
357	-26.25	14.25	17	3600,50
357	-26.25	15.25	17	3600,50
357	-25.75	15.75	17	3600,50
357	-24.25	15.75	17	3600,50
357	-24.25	15.25	17	3600,50
357	-24.75	14.75	17	3600,50
357	-24.75	14.25	17	3600,50
357	-23.25	14.25	17	3600,50
357	-22.75	14.75	17	3600,50
357	-21.75	14.75	17	3600,50
357	-20.25	16.25	17	3600,50
357	-20.25	17.75	17	3600,50
357	-20.75	18.25	17	3600,50
357	-20.75	19.25	17	3600,50
357	-21.25	19.75	17	3600,50
357	-21.25	20.25	17	3600,50
357	-19.75	21.75	17	3600,50
357	-19.75	22.75	17	3600,50
357	-19.25	23.25	17	3600,50
357	-18.25	23.25	17	3600,50
357	-17.75	23.75	17	3600,50
357	-17.25	23.75	17	3600,50
357	-17.25	23.25	17	3600,50
357	-19.75	20.75	17	3600,50
357	-19.75	20.25	17	3600,50
357	-19.25	20.25	17	3600,50
357	-17.25	22.25	17	3600,50
357	-16.75	22.25	17	3600,50
357	-16.75	21.25	17	3600,50
357	-15.75	20.25	17	3600,50
357	-15.25	20.25	17	3600,50
357	-15.25	21.25	17	3600,50
357	-14.25	22.25	17	3600,50
357	-14.25	23.75	17	3600,50
357	-15.25	23.75	17	3600,50
357	-17.25	25.75	17	3600,50
357	-17.25	26.75	17	3600,50
357	-17.75	27.25	17	3600,50
357	-19.25	27.25	17	3600,50
357	-19.75	26.75	17	3600,50
357	-20.25	26.75	17	3600,50
357	-20.75	27.25	17	3600,50
357	-21.25	27.25	17	3600,50
357	-22.25	26.25	17	3600,50
357	-22.75	26.25	17	3600,50
357	-23.25	26.75	17	3600,50
357	-23.25	27.25	17	3600,50
357	-22.25	27.25	17	3600,50
357	-19.75	29.75	17	3600,50
357	-19.25	29.75	17	3600,50
357	-18.75	29.25	17	3600,50
357	-17.75	29.25	17	3600,50
357	-16.75	28.25	17	3600,50
357	-16.75	27.25	17	3600,50
357	-16.25	27.25	17	3600,50
357	-15.75	27.75	17	3600,50
357	-15.25	27.75	17	3600,50
357	-13.75	26.25	17	3600,50
357	-13.25	26.25	17	3600,50
357	-13.25	26.75	17	3600,50
357	-13.75	27.25	17	3600,50
357	-13.75	27.75	17	3600,50
357	-13.25	27.75	17	3600,50
357	-12.75	27.25	17	3600,50
357	-12.25	27.25	17	3600,50
357	-12.25	27.75	17	3600,50
357	-12.75	28.25	17	3600,50
357	-12.75	29.25	17	3600,50
357	-13.25	29.75	17	3600,50
357	-14.25	29.75	17	3600,50
357	-14.25	30.25	17	3600,50
357	-13.25	31.25	17	3600,50
357	-13.25	32.25	17	3600,50
357	-12.75	32.25	17	3600,50
357	-11.75	31.25	17	3600,50
357	-11.75	30.25	17	3600,50
357	-11.25	30.25	17	3600,50
357	-10.75	30.75	17	3600,50
357	-10.75	31.25	17	3600,50
357	-12.25	32.75	17	3600,50
357	-12.25	33.25	17	3600,50
357	-11.75	33.25	17	3600,50
357	-10.25	31.75	17	3600,50
357	-9.75	31.75	17	3600,50
357	-9.75	32.25	17	3600,50
357	-10.75	33.25	17	3600,50
357	-10.75	33.75	17	3600,50
357	-10.25	33.75	17	3600,50
357	-9.25	32.75	17	3600,50
357	-8.25	32.75	17	3600,50
357	-8.25	32.25	17	3600,50
357	-9.25	31.25	17	3600,50
357	-9.25	30.75	17	3600,50
357	-8.75	30.75	17	3600,50
357	-7.25	32.25	17	3600,50
357	-7.25	32.75	17	3600,50
357	-9.25	34.75	17	3600,50
357	-11.25	34.75	17	3600,50
357	-11.75	35.25	17	3600,50
357	-11.75	35.75	17	3600,50
357	-11.25	36.25	17	3600,50
357	-10.25	36.25	17	3600,50
357	-8.75	37.75	17	3600,50
357	-6.25	37.75	17	3600,50
357	-6.25	37.25	17	3600,50
357	-6.75	36.75	17	3600,50
357	-6.75	35.75	17	3600,50
357	-7.25	35.25	17	3600,50
357	-8.25	35.25	17	3600,50
357	-8.25	34.75	17	3600,50
357	-5.75	32.25	17	3600,50
357	-3.75	32.25	17	3600,50
357	-2.75	31.25	17	3600,50
357	-2.75	29.75	17	3600,50
357	-3.25	29.25	17	3600,50
357	-3.25	28.75	17	3600,50
357	-2.25	28.75	17	3600,50
357	-2.25	27.25	17	3600,50
357	-4.25	27.25	17	3600,50
357	-4.25	26.75	17	3600,50
357	-3.75	26.25	17	3600,50
357	-3.75	24.25	17	3600,50
357	-2.25	22.75	17	3600,50
357	-2.25	21.75	17	3600,50
357	-1.75	21.25	17	3600,50
357	-1.75	20.75	17	3600,50
357	-2.25	20.25	17	3600,50
357	-2.75	20.25	17	3600,50
357	-2.75	21.25	17	3600,50
357	-3.75	21.25	17	3600,50
357	-3.75	22.25	17	3600,50
357	-4.25	22.25	17	3600,50
357	-5.25	21.25	17	3600,50
357	-5.25	20.75	17	3600,50
357	-4.75	20.25	17	3600,50
357	-4.75	19.75	17	3600,50
357	-5.25	19.25	17	3600,50
357	-5.25	18.75	17	3600,50
357	-4.75	18.25	17	3600,50
357	-3.75	18.25	17	3600,50
357	-3.75	17.75	17	3600,50
357	-4.25	17.25	17	3600,50
357	-5.25	17.25	17	3600,50
357	-5.25	15.75	17	3600,50
357	-4.75	15.25	17	3600,50
357	-4.75	14.25	17	3600,50
357	-4.25	13.75	17	3600,50
357	-4.25	13.25	17	3600,50
357	-4.75	13.25	17	3600,50
357	-5.25	13.75	17	3600,50
357	-6.25	13.75	17	3600,50
357	-6.75	14.25	17	3600,50
357	-6.75	15.25	17	3600,50
357	-7.25	15.25	17	3600,50
357	-7.75	14.75	17	3600,50
357	-8.25	14.75	17	3600,50
357	-8.25	15.75	17	3600,50
357	-10.75	15.75	17	3600,50
357	-10.75	15.25	17	3600,50
357	-10.25	14.75	17	3600,50
357	-9.25	14.75	17	3600,50
357	-7.25	12.75	17	3600,50
357	-7.25	11.75	17	3600,50
357	-6.75	11.75	17	3600,50
357	-6.25	12.25	17	3600,50
357	-4.25	12.25	17	3600,50
357	-2.75	13.75	17	3600,50
357	-2.25	13.75	17	3600,50
357	-1.25	12.75	17	3600,50
357	-0.75	12.75	17	3600,50
357	-0.25	13.25	17	3600,50
357	-0.25	13.75	17	3600,50
357	-0.75	14.25	17	3600,50
357	-1.75	14.25	17	3600,50
357	-2.25	14.75	17	3600,50
357	-2.25	15.75	17	3600,50
357	-3.25	16.75	17	3600,50
357	-3.25	17.25	17	3600,50
357	-2.75	17.25	17	3600,50
357	-2.25	16.75	17	3600,50
357	-1.75	16.75	17	3600,50
357	-1.25	17.25	17	3600,50
357	-1.25	17.75	17	3600,50
357	-1.75	18.25	17	3600,50
357	-1.75	18.75	17	3600,50
357	-1.25	19.25	17	3600,50
357	-0.75	19.25	17	3600,50
357	-0.75	18.25	17	3600,50
357	0.75	18.25	17	3600,50
357	1.25	18.75	17	3600,50
357	1.75	18.75	17	3600,50
357	2.25	18.25	17	3600,50
357	3.25	18.25	17	3600,50
357	4.25	17.25	17	3600,50
357	4.75	17.25	17	3600,50
357	4.75	18.25	17	3600,50
357	5.25	18.25	17	3600,50
357	5.25	12.75	17	3600,50
357	4.75	12.75	17	3600,50
357	3.75	13.75	17	3600,50
357	2.75	13.75	17	3600,50
357	2.25	14.25	17	3600,50
357	0.75	14.25	17	3600,50
357	0.75	13.75	17	3600,50
357	1.25	13.25	17	3600,50
357	1.25	12.75	17	3600,50
357	0.25	11.75	17	3600,50
357	0.25	10.75	17	3600,50
357	-0.25	10.25	17	3600,50
357	-0.25	8.25	17	3600,50
357	-1.75	8.25	17	3600,50
357	-3.25	9.75	17	3600,50
357	-4.25	9.75	17	3600,50
357	-4.25	10.75	17	3600,50
357	-6.75	10.75	17	3600,50
357	-6.75	10.25	17	3600,50
357	-6.25	9.75	17	3600,50
357	-6.25	9.25	17	3600,50
357	-7.25	9.25	17	3600,50
357	-7.25	7.75	17	3600,50
357	-6.75	7.25	17	3600,50
357	-6.25	7.25	17	3600,50
357	-5.75	7.75	17	3600,50
357	-5.75	8.75	17	3600,50
357	-5.25	8.75	17	3600,50
357	-4.25	7.75	17	3600,50
357	-2.25	7.75	17	3600,50
357	-2.25	7.25	17	3600,50
357	-3.25	6.25	17	3600,50
357	-4.25	6.25	17	3600,50
357	-4.75	5.75	17	3600,50
357	-4.75	4.75	17	3600,50
357	-5.25	4.25	17	3600,50
357	-5.25	2.75	17	3600,50
357	-4.25	2.75	17	3600,50
357	-3.75	2.25	17	3600,50
357	-3.25	2.25	17	3600,50
357	-2.75	2.75	17	3600,50
357	-2.25	2.75	17	3600,50
357	-2.25	-0.75	17	3600,50
357	-3.75	-0.75	17	3600,50
357	-4.75	0.25	17	3600,50
357	-6.25	0.25	17	3600,50
357	-6.25	-0.75	17	3600,50
357	-19.75	-0.75	17	3600,50
357	-19.75	0.75	17	3600,50
357	-19.25	1.25	17	3600,50
357	-19.25	1.75	17	3600,50
357	-19.75	2.25	17	3600,50
357	-19.75	3.75	17	3600,50
357	-18.75	3.75	17	3600,50
357	-18.75	5.75	17	3600,50
357	-18.25	6.25	17	3600,50
357	-18.25	7.25	17	3600,50
357	-17.25	8.25	17	3600,50
357	-17.25	8.75	17	3600,50
357	-17.75	9.25	17	3600,50
357	-17.75	9.75	17	3600,50
357	-17.25	10.25	17	3600,50
357	-16.25	10.25	17	3600,50
357	-15.75	10.75	17	3600,50
357	-15.75	12.75	17	3600,50
357	-14.75	12.75	17	3600,50
357	-14.75	13.25	17	3600,50
357	-15.75	14.25	17	3600,50
357	-17.25	14.25	17	3600,50
357	-17.25	13.25	17	3600,50
357	-17.75	12.75	17	3600,50
357	-18.75	12.75	17	3600,50
357	-18.75	11.75	17	3600,50
357	-20.75	9.75	17	3600,50
357	-22.25	9.75	17	3600,50
357	-22.25	10.25	17	3600,50
357	-21.75	10.75	17	3600,50
357	-20.75	10.75	17	3600,50
357	-20.75	11.25	17	3600,50
357	-21.25	11.75	17	3600,50
357	-21.75	11.75	17	3600,50
357	-23.25	10.25	17	3600,50
357	-23.25	9.25	17	3600,50
357	-24.75	9.25	17	3600,50
357	-24.75	11.25	17	3600,50
357	-25.25	11.25	17	3600,50
357	-27.25	9.25	17	3600,50
357	-27.75	9.25	17	3600,50
357	-27.75	9.75	17	3600,50
357	-27.25	10.25	17	3600,50
357	-27.25	11.75	17	3600,50
357	-28.25	12.75	17	3600,50
357	-30.25	12.75	17	3600,50
357	-31.25	13.75	17	3600,50
357	-31.75	13.75	17	3600,50
357	-31.75	12.75	17	3600,50
357	-33.25	11.25	17	3600,50
357	-33.25	10.25	17	3600,50
357	-34.25	10.25	17	3600,50
357	-34.25	8.75	17	3600,50
357	-33.25	7.75	17	3600,50
357	-33.25	6.75	17	3600,50
357	-32.75	6.25	17	3600,50
357	-31.75	6.25	17	3600,50
357	-31.25	5.75	17	3600,50
357	-30.75	5.75	17	3600,50
357	-29.25	7.25	17	3600,50
357	-28.75	7.25	17	3600,50
357	-28.75	6.25	17	3600,50
357	-28.25	5.75	17	3600,50
357	-27.75	5.75	17	3600,50
357	-27.25	6.25	17	3600,50
357	-27.25	6.75	17	3600,50
357	-27.75	7.25	17	3600,50
357	-27.75	7.75	17	3600,50
357	-26.25	9.25	17	3600,50
357	-25.75	9.25	17	3600,50
357	-25.75	8.25	17	3600,50
357	-25.25	7.75	17	3600,50
357	-24.75	7.75	17	3600,50
357	-24.25	8.25	17	3600,50
357	-23.75	8.25	17	3600,50
357	-23.75	7.75	17	3600,50
357	-25.25	6.25	17	3600,50
357	-25.25	5.75	17	3600,50
357	-24.75	5.25	17	3600,50
357	-24.75	4.75	17	3600,50
357	-25.75	3.75	17	3600,50
357	-26.75	3.75	17	3600,50
357	-26.75	1.75	17	3600,50
357	-27.25	1.25	17	3600,50
357	-27.75	1.25	17	3600,50
357	-28.25	1.75	17	3600,50
357	-28.75	1.75	17	3600,50
357	-28.75	0.25	17	3600,50
357	-28.25	-0.25	17	3600,50
357	-28.25	-0.75	17	3600,50
357	-31.75	-0.75	17	3600,50
357	-32.25	-0.25	17	3600,50
357	-33.75	-0.25	17	3600,50
357	-34.25	-0.75	17	3600,50
357	-44.75	-0.75	17	3600,50
357	-45.25	-0.25	17	3600,50
357	-45.25	4.25	17	3600,50
357	-44.75	4.25	17	3600,50
357	-44.25	3.75	17	3600,50
357	-43.75	3.75	17	3600,50
357	-43.25	4.25	17	3600,50
357	-42.75	4.25	17	3600,50
357	-42.75	3.25	17	3600,50
357	-41.25	1.75	17	3600,50
357	-41.25	0.75	17	3600,50
357	-39.75	0.75	17	3600,50
357	-39.25	1.25	17	3600,50
357	-38.25	1.25	17	3600,50
357	-36.75	2.75	17	3600,50
357	-36.75	3.25	17	3600,50
357	-38.25	4.75	17	3600,50
357	-38.75	4.75	17	3600,50
357	-39.25	4.25	17	3600,50
357	-39.25	3.25	17	3600,50
357	-39.75	2.75	17	3600,50
357	-41.25	2.75	17	3600,50
357	-41.25	3.25	17	3600,50
357	-39.75	4.75	17	3600,50
357	-39.75	6.25	17	3600,50
357	-40.75	7.25	17	3600,50
357	-40.75	7.75	17	3600,50
357	-38.25	7.75	17	3600,50
357	-37.75	7.25	17	3600,50
357	-37.25	7.25	17	3600,50
357	-37.25	7.75	17	3600,50
357	-37.75	8.25	17	3600,50
357	-37.75	9.25	17	3600,50
357	-38.75	9.25	17	3600,50
357	-39.25	9.75	17	3600,50
357	-39.25	10.25	17	3600,50
357	-38.25	10.25	17	3600,50
357	-38.25	10.75	17	3600,50
357	-38.75	11.25	17	3600,50
357	-38.75	12.75	17	3600,50
357	-37.75	12.75	17	3600,50
357	-37.25	13.25	17	3600,50
357	-36.75	13.25	17	3600,50
357	-36.25	12.75	17	3600,50
357	-36.25	12.25	17	3600,50
357	-37.25	12.25	17	3600,50
357	-37.25	10.75	17	3600,50
357	-36.75	10.75	17	3600,50
357	-35.25	12.25	17	3600,50
357	-33.25	12.25	17	3600,50
357	-33.25	13.25	17	3600,50
357	-32.75	13.75	17	3600,50
357	-32.75	15.25	17	3600,50
357	-34.25	16.75	17	3600,50
357	-34.25	17.25	17	3600,50
357	-32.75	17.25	17	3600,50
357	-32.75	16.25	17	3600,50
357	-31.75	16.25	17	3600,50
357	-31.75	15.25	17	3600,50
357	-29.25	15.25	17	3600,50
357	-29.25	16.25	17	3600,50
357	-28.75	16.75	17	3600,50
357	-28.75	17.25	17	3600,50
357	-29.75	17.25	17	3600,50
357	-32.25	19.75	17	3600,50
357	-32.25	20.75	17	3600,50
357	-32.75	21.25	17	3600,50
357	-45.25	48.75	17	3600,0
357	-45.25	49.25	17	3600,0
357	-34.75	49.25	17	3600,0
357	-34.25	48.75	17	3600,0
357	-34.25	47.75	17	3600,0
357	-33.25	46.75	17	3600,0
357	-33.25	46.25	17	3600,0
357	-33.75	45.75	17	3600,0
357	-34.75	45.75	17	3600,0
357	-36.25	44.25	17	3600,0
357	-36.25	42.25	17	3600,0
357	-37.75	40.75	17	3600,0
357	-38.25	40.75	17	3600,0
357	-38.25	41.75	17	3600,0
357	-39.25	41.75	17	3600,0
357	-39.75	42.25	17	3600,0
357	-40.25	42.25	17	3600,0
357	-40.25	41.75	17	3600,0
357	-39.75	41.25	17	3600,0
357	-39.75	40.75	17	3600,0
357	-42.25	40.75	17	3600,0
357	-42.25	41.75	17	3600,0
357	-42.75	41.75	17	3600,0
357	-43.75	40.75	17	3600,0
357	-43.75	38.75	17	3600,0
357	-44.25	38.75	17	3600,0
357	-45.25	39.75	17	3600,0
357	-45.25	42.25	17	3600,0
357	-44.25	42.25	17	3600,0
357	-44.25	42.75	17	3600,0
357	-45.25	43.75	17	3600,0
357	-45.25	48.75	17	3600,0
357	-44.75	19.25	17	3650,50
357	-44.75	19.75	17	3650,50
357	-44.25	19.75	17	3650,50
357	-43.75	19.25	17	3650,50
357	-43.75	17.75	17	3650,50
357	-44.25	17.25	17	3650,50
357	-44.25	16.25	17	3650,50
357	-44.75	16.25	17	3650,50
357	-44.75	19.25	17	3650,50
357	-41.75	46.25	17	3650,0
357	-41.75	46.75	17	3650,0
357	-39.25	49.25	17	3650,0
357	-32.75	49.25	17	3650,0
357	-32.75	47.25	17	3650,0
357	-31.75	47.25	17	3650,0
357	-31.25	46.75	17	3650,0
357	-30.75	46.75	17	3650,0
357	-30.25	47.25	17	3650,0
357	-29.75	47.25	17	3650,0
357	-28.25	45.75	17	3650,0
357	-28.25	44.25	17	3650,0
357	-29.25	44.25	17	3650,0
357	-29.25	42.75	17	3650,0
357	-27.75	42.75	17	3650,0
357	-26.75	43.75	17	3650,0
357	-25.75	43.75	17	3650,0
357	-25.25	44.25	17	3650,0
357	-23.25	44.25	17	3650,0
357	-22.75	44.75	17	3650,0
357	-22.25	44.75	17	3650,0
357	-22.25	44.25	17	3650,0
357	-22.75	43.75	17	3650,0
357	-22.75	42.75	17	3650,0
357	-23.75	42.75	17	3650,0
357	-24.25	42.25	17	3650,0
357	-25.25	42.25	17	3650,0
357	-25.25	41.75	17	3650,0
357	-24.75	41.25	17	3650,0
357	-24.75	40.75	17	3650,0
357	-25.75	39.75	17	3650,0
357	-25.75	38.75	17	3650,0
357	-26.25	38.25	17	3650,0
357	-26.25	37.75	17	3650,0
357	-25.75	37.75	17	3650,0
357	-25.25	38.25	17	3650,0
357	-24.75	38.25	17	3650,0
357	-24.75	36.75	17	3650,0
357	-25.75	36.75	17	3650,0
357	-25.75	35.75	17	3650,0
357	-26.25	35.25	17	3650,0
357	-26.25	34.25	17	3650,0
357	-27.75	32.75	17	3650,0
357	-28.25	32.75	17	3650,0
357	-28.25	33.25	17	3650,0
357	-27.75	33.75	17	3650,0
357	-27.75	35.75	17	3650,0
357	-27.25	36.25	17	3650,0
357	-27.25	36.75	17	3650,0
357	-28.75	38.25	17	3650,0
357	-29.25	38.25	17	3650,0
357	-29.25	37.25	17	3650,0
357	-30.75	37.25	17	3650,0
357	-30.75	37.75	17	3650,0
357	-30.25	38.25	17	3650,0
357	-30.25	38.75	17	3650,0
357	-30.75	39.25	17	3650,0
357	-32.75	39.25	17	3650,0
357	-33.25	39.75	17	3650,0
357	-33.75	39.75	17	3650,0
357	-34.75	38.75	17	3650,0
357	-35.75	38.75	17	3650,0
357	-35.75	38.25	17	3650,0
357	-35.25	37.75	17	3650,0
357	-35.25	37.25	17	3650,0
357	-35.75	36.75	17	3650,0
357	-35.75	36.25	17	3650,0
357	-34.75	36.25	17	3650,0
357	-34.75	35.75	17	3650,0
357	-35.75	34.75	17	3650,0
357	-36.25	34.75	17	3650,0
357	-36.25	35.75	17	3650,0
357	-36.75	35.75	17	3650,0
357	-37.25	35.25	17	3650,0
357	-37.25	34.25	17	3650,0
357	-38.25	34.25	17	3650,0
357	-38.75	33.75	17	3650,0
357	-39.75	33.75	17	3650,0
357	-39.75	32.75	17	3650,0
357	-40.25	32.25	17	3650,0
357	-40.25	31.25	17	3650,0
357	-40.75	30.75	17	3650,0
357	-40.75	29.75	17	3650,0
357	-41.25	29.75	17	3650,0
357	-41.75	30.25	17	3650,0
357	-41.75	31.75	17	3650,0
357	-41.25	32.25	17	3650,0
357	-41.25	33.75	17	3650,0
357	-42.75	33.75	17	3650,0
357	-43.25	33.25	17	3650,0
357	-43.25	32.75	17	3650,0
357	-42.75	32.25	17	3650,0
357	-42.75	31.75	17	3650,0
357	-43.75	31.75	17	3650,0
357	-43.75	31.25	17	3650,0
357	-43.25	30.75	17	3650,0
357	-43.25	29.25	17	3650,0
