group	label	showSelected1
1	Cluster 1: 80/1492 pixels shown, logFC -3.8 to 3.9, log10(p) 0.0 to 2.0	1
1	Cluster 6: 621/1273 pixels shown, logFC -4.2 to 3.6, log10(p) 0.0 to 2.8	6
1	Cluster 7: 1436/3017 pixels shown, logFC -4.2 to 3.6, log10(p) 0.0 to 2.5	7
1	Cluster 11: 110/111 pixels shown, logFC -3.8 to 3.3, log10(p) 0.0 to 1.5	11
1	Cluster 16: 41/70 pixels shown, logFC -3.5 to 3.9, log10(p) 0.0 to 1.7	16
1	Cluster 25: 47/6857 pixels shown, logFC -3.5 to 3.9, log10(p) 0.0 to 4.6	25
1	Cluster 34: 32/976 pixels shown, logFC -4.0 to 3.6, log10(p) 0.0 to 2.3	34
1	Cluster 43: 116/435 pixels shown, logFC -2.6 to 4.1, log10(p) 0.0 to 2.0	43
1	Cluster 45: 30/36 pixels shown, logFC -0.6 to 4.4, log10(p) 0.0 to 2.3	45
1	Cluster 50: 368/440 pixels shown, logFC -3.5 to 4.2, log10(p) 0.0 to 1.9	50
1	Cluster 58: 910/1561 pixels shown, logFC -3.1 to 4.3, log10(p) 0.0 to 2.5	58
1	Cluster 69: 83/410 pixels shown, logFC -2.6 to 4.1, log10(p) 0.0 to 2.2	69
1	Cluster 73: 1/98 pixels shown, logFC -3.8 to 1.7, log10(p) 0.0 to 2.5	73
1	Cluster 94: 17/17 pixels shown, logFC 0.1 to 4.1, log10(p) 0.0 to 2.0	94
1	Cluster 98: 24/24 pixels shown, logFC 0.6 to 3.9, log10(p) 0.2 to 2.1	98
1	Cluster 100: 26/26 pixels shown, logFC -3.1 to 3.6, log10(p) 0.0 to 1.4	100
1	Cluster 117: 97/97 pixels shown, logFC -4.4 to 2.1, log10(p) 0.0 to 2.4	117
1	Cluster 120: 15/15 pixels shown, logFC 0.2 to 3.9, log10(p) 0.0 to 1.7	120
1	Cluster 125: 68/68 pixels shown, logFC -1.2 to 3.9, log10(p) 0.0 to 1.7	125
1	Cluster 136: 15/23 pixels shown, logFC -0.6 to 4.1, log10(p) 0.0 to 1.9	136
1	Cluster 140: 28/41 pixels shown, logFC -0.4 to 3.9, log10(p) 0.0 to 1.9	140
1	Cluster 141: 40/40 pixels shown, logFC -3.5 to 0.9, log10(p) 0.0 to 1.2	141
1	Cluster 154: 30/30 pixels shown, logFC -1.8 to 4.3, log10(p) 0.0 to 2.3	154
1	Cluster 155: 33/33 pixels shown, logFC -0.9 to 3.6, log10(p) 0.0 to 1.4	155
1	Cluster 164: 5/5 pixels shown, logFC -3.8 to -0.6, log10(p) 0.2 to 1.5	164
1	Cluster 169: 31/31 pixels shown, logFC -3.1 to 2.1, log10(p) 0.0 to 1.2	169
1	Cluster 170: 7/7 pixels shown, logFC -3.1 to -0.6, log10(p) 0.2 to 1.2	170
1	Cluster 178: 23/23 pixels shown, logFC 0.1 to 3.9, log10(p) 0.0 to 1.7	178
1	Cluster 180: 31/42 pixels shown, logFC -0.8 to 3.3, log10(p) 0.0 to 1.4	180
1	Cluster 193: 33/33 pixels shown, logFC -0.1 to 3.9, log10(p) 0.0 to 1.7	193
1	Cluster 205: 7/7 pixels shown, logFC 1.0 to 3.6, log10(p) 0.4 to 1.7	205
1	Cluster 208: 1/26 pixels shown, logFC -1.6 to 3.9, log10(p) 0.0 to 1.7	208
1	Cluster 209: 45/77 pixels shown, logFC -1.9 to 3.6, log10(p) 0.0 to 1.8	209
1	Cluster 215: 1/8 pixels shown, logFC -3.1 to -0.5, log10(p) 0.2 to 1.4	215
1	Cluster 218: 16/16 pixels shown, logFC -3.5 to 1.4, log10(p) 0.0 to 1.2	218
1	Cluster 219: 17/17 pixels shown, logFC 0.1 to 3.9, log10(p) 0.0 to 1.7	219
1	Cluster 223: 9/9 pixels shown, logFC -2.6 to -0.3, log10(p) 0.1 to 0.7	223
1	Cluster 227: 19/22 pixels shown, logFC -0.3 to 3.6, log10(p) 0.1 to 1.4	227
1	Cluster 246: 4/4 pixels shown, logFC -3.8 to -1.2, log10(p) 0.4 to 1.5	246
1	Cluster 267: 7/7 pixels shown, logFC 0.9 to 3.6, log10(p) 0.2 to 1.4	267
1	Cluster 273: 19/19 pixels shown, logFC -0.3 to 2.8, log10(p) 0.1 to 1.2	273
1	Cluster 277: 3/3 pixels shown, logFC -3.5 to -1.2, log10(p) 0.4 to 1.3	277
1	Cluster 282: 6/6 pixels shown, logFC 1.0 to 3.3, log10(p) 0.4 to 1.7	282
1	Cluster 284: 17/17 pixels shown, logFC 0.5 to 2.8, log10(p) 0.2 to 1.2	284
1	Cluster 290: 10/10 pixels shown, logFC 1.0 to 2.8, log10(p) 0.5 to 1.2	290
1	Cluster 294: 8/8 pixels shown, logFC 0.6 to 3.3, log10(p) 0.2 to 1.1	294
1	Cluster 297: 45/45 pixels shown, logFC -2.6 to 2.1, log10(p) 0.0 to 1.8	297
1	Cluster 300: 44/44 pixels shown, logFC -4.0 to 0.9, log10(p) 0.0 to 1.8	300
1	Cluster 309: 18/27 pixels shown, logFC 0.4 to 4.1, log10(p) 0.2 to 2.0	309
1	Cluster 311: 27/29 pixels shown, logFC -0.7 to 2.1, log10(p) 0.0 to 1.2	311
1	Cluster 313: 9/9 pixels shown, logFC 0.6 to 3.6, log10(p) 0.2 to 1.4	313
1	Cluster 342: 33/33 pixels shown, logFC -0.2 to 2.5, log10(p) 0.0 to 1.7	342
1	Cluster 377: 2/2 pixels shown, logFC -3.5 to -1.8, log10(p) 0.4 to 1.3	377
1	Cluster 381: 3/10 pixels shown, logFC -3.5 to -1.2, log10(p) 0.3 to 1.3	381
1	Cluster 401: 10/10 pixels shown, logFC 0.1 to 3.6, log10(p) 0.0 to 1.4	401
1	Cluster 417: 5/5 pixels shown, logFC -2.6 to -0.6, log10(p) 0.2 to 0.7	417
1	Cluster 419: 12/12 pixels shown, logFC -4.0 to -0.2, log10(p) 0.1 to 1.8	419
1	Cluster 439: 3/3 pixels shown, logFC 2.1 to 3.3, log10(p) 0.9 to 1.2	439
1	Cluster 449: 22/22 pixels shown, logFC -2.3 to 0.2, log10(p) 0.1 to 1.2	449
1	Cluster 452: 9/9 pixels shown, logFC -1.8 to -0.3, log10(p) 0.1 to 0.5	452
1	Cluster 465: 1/1 pixels shown, logFC -4.0 to -4.0, log10(p) 1.8 to 1.8	465
1	Cluster 472: 10/17 pixels shown, logFC 0.2 to 3.3, log10(p) 0.0 to 1.1	472
1	Cluster 477: 1/1 pixels shown, logFC -3.8 to -3.8, log10(p) 1.5 to 1.5	477
1	Cluster 487: 5/5 pixels shown, logFC -3.5 to -0.8, log10(p) 0.3 to 1.3	487
1	Cluster 500: 2/2 pixels shown, logFC -3.8 to -3.1, log10(p) 1.0 to 1.5	500
1	Cluster 502: 46/46 pixels shown, logFC 0.1 to 4.4, log10(p) 0.0 to 2.2	502
1	Cluster 503: 4/4 pixels shown, logFC -3.1 to -1.8, log10(p) 0.4 to 1.0	503
1	Cluster 507: 4/4 pixels shown, logFC -3.1 to -1.2, log10(p) 0.3 to 1.0	507
1	Cluster 512: 1/2 pixels shown, logFC -2.3 to -2.3, log10(p) 1.2 to 1.2	512
1	Cluster 521: 2/2 pixels shown, logFC -3.5 to -3.5, log10(p) 1.3 to 1.3	521
1	Cluster 526: 2/2 pixels shown, logFC 2.8 to 3.3, log10(p) 0.8 to 1.1	526
1	Cluster 532: 1/1 pixels shown, logFC 3.9 to 3.9, log10(p) 1.7 to 1.7	532
1	Cluster 533: 1/1 pixels shown, logFC 3.9 to 3.9, log10(p) 1.7 to 1.7	533
1	Cluster 543: 1/2 pixels shown, logFC -3.8 to -3.1, log10(p) 1.0 to 1.5	543
1	Cluster 545: 8/8 pixels shown, logFC -3.5 to -0.3, log10(p) 0.1 to 1.2	545
1	Cluster 547: 5/5 pixels shown, logFC 1.3 to 2.8, log10(p) 0.5 to 0.8	547
1	Cluster 563: 2/2 pixels shown, logFC -3.1 to -1.9, log10(p) 0.8 to 1.0	563
1	Cluster 567: 1/1 pixels shown, logFC -3.8 to -3.8, log10(p) 1.5 to 1.5	567
1	Cluster 568: 1/1 pixels shown, logFC -3.8 to -3.8, log10(p) 1.5 to 1.5	568
1	Cluster 580: 3/3 pixels shown, logFC 3.3 to 3.3, log10(p) 1.1 to 1.1	580
1	Cluster 590: 1/1 pixels shown, logFC 4.1 to 4.1, log10(p) 2.0 to 2.0	590
1	Cluster 591: 1/1 pixels shown, logFC 4.1 to 4.1, log10(p) 2.0 to 2.0	591
